classifier,attack,label,cpop,fs,lid,maha,kd
resnet20,FGSM,0,-0.2121613323688507,1.9125107526779175,5.3647050857543945,7.721981525421143,0.6315178871154785
resnet20,FGSM,1,-0.010478682816028595,1.8569695949554443,8.537424087524414,4.38932466506958,0.34847021102905273
resnet20,FGSM,0,-0.21080118417739868,1.4539412260055542,5.775298118591309,4.0963850021362305,0.38687562942504883
resnet20,FGSM,1,-0.012131504714488983,1.962291955947876,6.0891289710998535,4.538947582244873,0.30414676666259766
resnet20,FGSM,0,-0.11470843106508255,0.9620636701583862,8.026219367980957,5.331579685211182,0.37081480026245117
resnet20,FGSM,1,-0.009953588247299194,1.0833194255828857,7.795536994934082,4.4671430587768555,0.2911214828491211
resnet20,FGSM,0,-0.0787578895688057,1.7663254737854004,4.648314952850342,6.166927814483643,0.5973372459411621
resnet20,FGSM,1,-0.008180901408195496,1.9041088819503784,4.179367542266846,4.996821880340576,0.3141665458679199
resnet20,FGSM,0,-0.1862889528274536,1.9999487400054932,5.644303321838379,6.769064426422119,0.5695047378540039
resnet20,FGSM,1,-0.010586895048618317,1.3755011558532715,7.951434135437012,5.134000778198242,0.30143260955810547
resnet20,FGSM,0,-0.1354488730430603,1.9930797815322876,4.281207084655762,5.280190944671631,0.3940110206604004
resnet20,FGSM,1,-0.010743893682956696,1.9882912635803223,5.329498291015625,5.984375,0.45204830169677734
resnet20,FGSM,0,-0.21323208510875702,1.7257890701293945,7.8739423751831055,7.053703784942627,0.4967689514160156
resnet20,FGSM,1,-0.010223373770713806,1.8325084447860718,4.066418647766113,4.515410423278809,0.31445980072021484
resnet20,FGSM,0,-0.11610738188028336,1.9992012977600098,5.618958473205566,4.093698024749756,0.3936190605163574
resnet20,FGSM,1,-0.010157525539398193,1.9821696281433105,5.883419513702393,4.415107250213623,0.32477903366088867
resnet20,FGSM,0,-0.26246148347854614,1.54881751537323,5.206873416900635,6.901961803436279,0.515007495880127
resnet20,FGSM,1,-0.013273343443870544,1.975780725479126,4.180152416229248,5.523012161254883,0.3655052185058594
resnet20,FGSM,0,-0.18397969007492065,0.684471070766449,5.575716018676758,4.705901622772217,0.4222569465637207
resnet20,FGSM,1,-0.009624354541301727,1.5933712720870972,8.572179794311523,7.152599334716797,0.4421572685241699
resnet20,FGSM,0,-0.2679562568664551,1.6415619850158691,7.729274749755859,7.471989631652832,0.5679430961608887
resnet20,FGSM,1,-0.011304207146167755,1.2764887809753418,6.824859619140625,6.031270980834961,0.35314035415649414
resnet20,FGSM,0,-0.07444283366203308,0.028499430045485497,5.112607002258301,5.4570770263671875,0.542335033416748
resnet20,FGSM,1,-0.008519306778907776,1.4123189449310303,9.630804061889648,5.743672847747803,0.3275012969970703
resnet20,FGSM,0,-0.13703127205371857,1.9926276206970215,8.48845386505127,6.2329816818237305,0.46007299423217773
